boolean_test,int_test,float_test,string_test
false,5,1.22,Setosa
true,5,2.22,Setosa
false,5,0.7,Setosa
,1,2.7,Setosa
false,4,1.97,Setosa
false,6,2.8,Setosa
true,4,,Setosa
true,7,4.28,Setosa
false,6,2.37,Setosa
true,6,2.35,Setosa
true,3,1.99,Setosa
true,4,3.9,Setosa
false,6,2.58,Setosa
true,5,2.34,Setosa
false,4,2.67,Setosa
false,4,3.22,Setosa
true,4,1.48,Setosa
true,6,1.4,Setosa
true,8,2.6,Setosa
true,5,3.22,Setosa
false,2,3.74,Setosa
true,6,1.34,Setosa
,6,4.08,
false,7,1.67,Setosa
false,4,-0.22,Setosa
false,2,2.77,Setosa
false,3,1.35,Setosa
true,7,2.49,Setosa
true,5,1.07,Setosa
true,5,2.03,Setosa
true,3,1.37,Setosa
false,5,0.39,Setosa
false,4,2.1,Setosa
false,6,3.02,Setosa
true,7,1.21,Setosa
true,1,1.51,Setosa
false,7,2.06,Setosa
true,4,2.49,Setosa
true,7,1.82,Setosa
false,8,2.47,Setosa
true,6,1.46,Setosa
false,4,1.52,Setosa
true,2,3.25,Setosa
true,6,0.37,Setosa
true,5,0.76,Setosa
false,5,0.99,Setosa
true,4,2.31,Setosa
false,6,1.15,Setosa
,3,1.64,Setosa
false,1,2.98,Setosa
true,8,2.0,Versicolor
false,2,-0.46,Versicolor
true,5,0.3,Versicolor
true,7,1.1,Versicolor
true,4,2.1,Versicolor
true,1,2.74,Versicolor
false,2,,Versicolor
true,6,3.03,Versicolor
false,4,2.02,Versicolor
,5,2.33,Versicolor
true,5,1.65,Versicolor
false,3,1.39,Versicolor
true,3,1.77,Versicolor
true,6,1.98,Versicolor
true,10,1.54,Versicolor
true,4,1.17,
false,5,0.59,Versicolor
false,10,,Versicolor
true,6,1.96,Versicolor
true,,2.93,Versicolor
false,10,1.9,Versicolor
false,5,,Versicolor
false,6,2.7,Versicolor
false,8,2.5,Versicolor
false,9,2.48,Versicolor
false,6,1.4,Versicolor
true,5,-1.0,Versicolor
true,5,1.18,Versicolor
true,5,3.66,Versicolor
true,2,1.76,Versicolor
true,6,2.61,Versicolor
true,4,1.23,Versicolor
false,6,1.5,Versicolor
false,9,0.98,Versicolor
false,3,,Versicolor
false,7,0.92,Versicolor
false,6,3.47,Versicolor
,,1.89,Versicolor
true,3,2.02,Versicolor
false,8,3.19,Versicolor
,8,1.98,Versicolor
false,4,3.62,Versicolor
false,3,0.5,Versicolor
true,6,0.74,Versicolor
true,5,2.73,Versicolor
false,6,1.68,Versicolor
true,2,1.35,Versicolor
false,6,2.11,Versicolor
false,7,-0.4,Versicolor
true,4,2.3,Versicolor
true,5,1.03,
true,8,-0.49,Virginica
false,7,1.41,Virginica
true,10,2.4,Virginica
true,4,2.78,Virginica
false,,2.17,Virginica
true,8,,Virginica
true,2,3.86,Virginica
true,6,1.96,Virginica
true,6,2.27,Virginica
true,3,1.87,Virginica
true,4,1.09,Virginica
true,7,,Virginica
false,5,1.78,Virginica
false,5,1.89,Virginica
false,,3.69,Virginica
true,5,1.87,Virginica
false,2,4.15,Virginica
false,3,3.0,Virginica
false,2,3.54,Virginica
false,7,2.3,Virginica
false,1,3.65,Virginica
false,8,1.99,Virginica
true,3,1.12,Virginica
true,8,1.22,Virginica
false,6,3.15,Virginica
false,3,3.04,Virginica
false,1,5.03,Virginica
true,10,,Virginica
false,6,1.66,Virginica
true,3,1.11,Virginica
true,5,1.51,Virginica
true,10,3.89,Virginica
false,5,,Virginica
true,2,1.89,Virginica
true,4,2.45,
false,4,1.79,Virginica
false,3,2.19,Virginica
true,1,2.64,Virginica
true,1,1.97,Virginica
false,6,1.95,Virginica
false,1,3.84,Virginica
true,5,0.37,Virginica
true,4,1.01,Virginica
true,6,3.49,Virginica
false,5,2.94,Virginica
false,3,1.87,Virginica
true,3,1.86,Virginica
true,13,3.49,Virginica
true,2,3.4,Virginica
